overall_rank,pos_rank,player_id,full_name,position,team,opponent_team,home,game_id,kickoff,proj,floor,ceiling,neutral,matchup_pts,matchup_grade,opp_rank,d_idx,implied,tier,injury,limited_history,depth_rank,headshot_url,f_targets,f_carries,f_attempts,f_passing_yards,f_rushing_yards,f_receiving_yards,f_target_share,f_fg_att,f_pat_att,f_fg_made_50plus,f_def_sacks,f_takeaways,f_points_allowed,opp_implied,outcomes,published_at,actual
208,72,00-0038618,Xavier Hutchinson,WR,HOU,BUF,1.0,2026_01_BUF_HOU,2026-09-13 13:00:00,6.992591777535392,0.8973612461421299,13.650637268468168,7.117845601036131,-0.1252538235007394,C,24,-2.2283020802923685,21.5,3,,False,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n5baiu6sg9wh3xhhewkd",4.988868281498215,0.1551438682017813,0.0,0.0,1.2381493505088348,29.800147173787813,0.1450023123549543,0.0,0.0,0.0,0.0,0.0,0.0,23.0,"[0.0, 0.32, 0.9, 1.55, 2.15, 2.73, 3.35, 3.99, 4.68, 5.41, 6.15, 7.11, 8.04, 9.2, 10.41, 11.97, 13.65, 16.1, 19.6]",2026-09-13 12:03:25,
209,23,00-0041145,Dominic Zvada,K,NYG,DAL,1.0,2026_01_DAL_NYG,2026-09-13 20:20:00,6.857101843824898,2.253402445519652,11.555678042578515,6.890343259894041,-0.0332414160691429,C,4,1.3093177220531227,22.25,1,,True,1.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rej45oauer8jysbtwbxm",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.25,"[0.08, 1.27, 2.25, 3.0, 3.62, 4.21, 4.74, 5.3, 5.87, 6.43, 7.08, 7.67, 8.26, 8.95, 9.73, 10.57, 11.56, 12.87, 14.83]",2026-09-13 12:03:25,
210,73,00-0034837,Calvin Ridley,WR,TEN,NYJ,1.0,2026_01_NYJ_TEN,2026-09-13 13:00:00,6.847261978082729,0.7520314466894673,13.505307469015506,6.860221928345238,-0.012959950262509,C,3,2.351017871402859,20.0,3,,True,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zrv8bjm7zdtboyka2jvr",4.667875713360344,0.0,0.0,0.0,0.0,42.63773736213073,0.1493338710345277,0.0,0.0,0.0,0.0,0.0,0.0,18.5,"[0.0, 0.18, 0.75, 1.4, 2.01, 2.59, 3.21, 3.85, 4.53, 5.27, 6.0, 6.97, 7.9, 9.06, 10.27, 11.82, 13.51, 15.95, 19.45]",2026-09-13 12:03:25,
211,74,00-0039901,Keon Coleman,WR,BUF,HOU,0.0,2026_01_BUF_HOU,2026-09-13 13:00:00,6.81724344237745,0.722012910984188,13.475288933310226,6.9834419184178165,-0.1661984760403667,C,25,-2.287521941925476,23.0,3,,False,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cm7g87waetksjouyjgvg",3.91814344708824,0.0,0.0,0.0,0.0,28.49513862022658,0.1315429372302965,0.0,0.0,0.0,0.0,0.0,0.0,21.5,"[0.0, 0.15, 0.72, 1.37, 1.98, 2.56, 3.18, 3.82, 4.5, 5.24, 5.97, 6.94, 7.87, 9.02, 10.24, 11.79, 13.48, 15.92, 19.42]",2026-09-13 12:03:25,
212,10,DST_BUF,Buffalo Bills D/ST,DST,BUF,HOU,0.0,2026_01_BUF_HOU,2026-09-13 13:00:00,6.81513092941668,1.5523048511799908,12.575056417644426,6.324779692641949,0.4903512367747309,B,19,-0.1958056609535657,23.0,1,,False,1.0,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,29.80812208994742,32.77486800763249,30.619798739007845,239.9683451714313,156.79035114404698,239.9683451714313,0.0,1.2786944288019897,3.0561415634689046,0.0,1.526916257374032,1.1859357703622186,22.228287615511423,21.5,"[-0.7, 0.59, 1.55, 2.26, 2.85, 3.53, 4.17, 4.68, 5.31, 5.83, 6.6, 7.31, 8.02, 8.92, 9.96, 11.21, 12.58, 14.41, 17.3]",2026-09-13 12:03:25,
213,11,DST_CHI,Chicago Bears D/ST,DST,CHI,CAR,0.0,2026_01_CHI_CAR,2026-09-13 13:00:00,6.779857008314052,1.5170309300773628,12.539782496541797,6.408604594834405,0.3712524134796462,B,15,0.2888626861479943,25.25,1,,False,1.0,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,34.08979585407826,30.04935016179248,36.73993412862976,252.33770948923151,138.17333643900884,252.33770948923151,0.0,1.983612138688564,2.309872114766027,0.0,2.224266219362601,1.3273347122771997,23.20230161269517,22.25,"[-0.74, 0.55, 1.52, 2.22, 2.81, 3.5, 4.13, 4.65, 5.27, 5.8, 6.56, 7.27, 7.98, 8.88, 9.92, 11.18, 12.54, 14.37, 17.26]",2026-09-13 12:03:25,
214,12,DST_DAL,Dallas Cowboys D/ST,DST,DAL,NYG,0.0,2026_01_DAL_NYG,2026-09-13 20:20:00,6.773553475133873,1.5107273968971846,12.53347896336162,6.377695004083137,0.3958584710507367,B,13,0.5104072429117699,25.25,1,,False,1.0,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,34.46584619720227,28.78192020272205,35.5219751544717,274.6116131222193,130.65497471399206,274.6116131222193,0.0,2.718859546726802,2.5845129819397226,0.0,2.016025678680319,0.6429364618239095,30.340765967452658,22.25,"[-0.74, 0.55, 1.51, 2.22, 2.8, 3.49, 4.13, 4.64, 5.26, 5.79, 6.56, 7.26, 7.97, 8.88, 9.91, 11.17, 12.53, 14.36, 17.26]",2026-09-13 12:03:25,
215,45,00-0033526,Samaje Perine,RB,CIN,TB,1.0,2026_01_TB_CIN,2026-09-13 13:00:00,6.766031116694446,0.6246638506005002,13.360638259998534,6.289101951566572,0.4769291651278742,B,21,-0.4139025094736344,27.0,1,,False,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fllwhcdovol5i7xxahf6",1.6625898674328885,6.588558804001695,0.0,0.0,28.44354488355492,7.091880304810388,0.047378550216484,0.0,0.0,0.0,0.0,0.0,0.0,23.5,"[0.0, 0.07, 0.62, 1.25, 1.87, 2.46, 3.14, 3.77, 4.45, 5.15, 5.94, 6.81, 7.8, 8.79, 10.05, 11.58, 13.36, 15.97, 19.59]",2026-09-13 12:03:25,
216,46,00-0037157,Bam Knight,RB,ARI,LAC,0.0,2026_01_ARI_LAC,2026-09-13 16:25:00,6.757408138707876,0.6160408726139304,13.352015282011966,7.4531887710515,-0.6957806323436238,D,27,-1.927916980717929,19.0,1,,False,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjxnlzlnnwlfqayeybut",2.9029444098728567,7.028455133273394,0.0,0.0,22.846568414516064,14.610582184534378,0.0694964800756794,0.0,0.0,0.0,0.0,0.0,0.0,28.5,"[0.0, 0.06, 0.62, 1.24, 1.86, 2.45, 3.13, 3.77, 4.44, 5.15, 5.93, 6.8, 7.79, 8.78, 10.04, 11.58, 13.35, 15.96, 19.58]",2026-09-13 12:03:25,
217,13,DST_KC,Kansas City Chiefs D/ST,DST,KC,DEN,1.0,2026_01_DEN_KC,2026-09-14 20:15:00,6.749621563619286,1.486795485382597,12.509547051847033,6.097451199238136,0.6521703643811501,A,24,-0.8033727805316532,23.0,1,,False,1.0,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,30.53587801512857,24.06767222441197,32.73658898015601,206.24024822638853,97.2596772475876,206.24024822638853,0.0,2.401284429690034,1.568071053259399,0.0,2.007967402732611,0.8278958630963137,19.505711875765336,20.5,"[-0.77, 0.52, 1.49, 2.19, 2.78, 3.47, 4.1, 4.62, 5.24, 5.77, 6.53, 7.24, 7.95, 8.85, 9.89, 11.15, 12.51, 14.34, 17.23]",2026-09-13 12:03:25,
